,predicted label,tipover prob,unknownIdx
0,Not tip over,0.0012333750491961837,"[48, 18, 430, 3, 8, 28, 2, 141, 1220, 296, 0, 0, 12]"
1,Tip over,0.9951276779174805,"[562, 351, 63, 43, 28, 2, 16, 205, 49, 9, 4, 323, 296, 19, 28]"
2,Not tip over,0.001957238418981433,"[263, 8, 27, 9, 6, 2, 966, 256, 296, 0, 40, 18, 0]"
3,Not tip over,0.0019771410152316093,"[4, 133, 53, 59, 52, 43, 27, 9, 6, 2, 4690, 0, 979, 812, 9, 6]"
4,Tip over,0.9952030181884766,"[342, 25, 45, 1796, 3, 31, 296, 8, 2, 1098, 32]"
5,Not tip over,0.01627868227660656,"[36, 47, 0, 0, 545, 8, 36, 2, 296, 13, 12, 0]"
6,Not tip over,0.09663889557123184,"[271, 260, 0, 3, 42, 9, 163, 296]"
7,Tip over,0.9949954748153687,"[7, 18, 40, 0, 618, 86, 890, 18, 2, 48, 0, 8, 6, 2, 55, 9, 4328, 149, 941]"
8,Tip over,0.9281891584396362,"[1842, 852, 74, 101, 28, 2, 4, 1, 328, 941, 0, 18]"
9,Not tip over,0.0023734334390610456,"[445, 186, 6, 2, 5796, 0, 28, 18]"
10,Not tip over,0.0016950839199125767,"[265, 25, 57, 159, 39, 230, 5, 248, 36, 2, 135, 0, 0, 7, 36, 47]"
11,Not tip over,0.012379176914691925,"[19, 172, 0, 0, 301, 25, 57, 95, 4, 812, 9, 16, 96, 172, 152, 4, 825, 937, 0, 0, 94, 88, 39, 135, 49, 13, 12]"
12,Not tip over,0.0018626055680215359,"[262, 53, 59, 52, 351, 114, 5, 26, 123, 964, 72, 123, 8, 118, 9, 6, 1671, 0, 7, 0, 6, 32]"
13,Not tip over,0.0026192585937678814,"[58, 25, 52, 159, 39, 194, 5, 8, 6, 2, 141, 135, 0, 0, 7, 48, 19]"
14,Not tip over,0.003085126169025898,"[306, 53, 59, 57, 8, 6, 2, 135, 5, 18, 44, 94, 6, 121]"
15,Not tip over,0.0011857710778713226,"[435, 53, 59, 52, 82, 499, 452, 5, 43, 6, 2, 135, 913, 44, 291, 1140, 1578]"
16,Not tip over,0.0012686055852100253,"[495, 23, 248, 36, 212, 399, 2, 119, 9, 3855, 36]"
17,Not tip over,0.0011066508013755083,"[393, 20, 184, 713, 185, 0, 3, 22, 90, 85, 2, 1923, 0, 0, 0, 5797, 242]"
18,Not tip over,0.0023593129590153694,"[220, 157, 57, 521, 135, 2612, 2, 38, 0, 0, 7, 15]"
19,Not tip over,0.007298343814909458,"[486, 67, 33, 0, 41, 95, 4, 15, 9, 16, 83, 26, 117, 3, 13, 35, 1136, 13, 12, 5, 43, 4, 135]"
20,Not tip over,0.0029061585664749146,"[429, 521, 69, 253, 2, 4, 135, 49, 0, 0, 15]"
21,Not tip over,0.0024675612803548574,"[125, 169, 156, 2, 135, 50, 159, 13, 1049, 156]"
22,Not tip over,0.0014859393704682589,"[4635, 433, 57, 129, 42, 9, 14, 0, 0, 568, 36, 34, 16, 135]"
23,Not tip over,0.29636266827583313,"[662, 0, 24, 82, 68, 181, 4779, 5108, 2, 203, 271, 0, 0, 24, 82, 4, 74, 212, 354, 101, 135, 44, 68, 181, 50, 664, 63, 54, 14, 0, 7, 0, 68, 4696, 4834]"
24,Not tip over,0.0016096507897600532,"[468, 20, 1393, 10, 942, 54, 616, 51, 113, 716, 34, 4, 135, 480, 5829, 9, 2437, 0, 7, 1495, 47]"
25,Not tip over,0.0011996609391644597,"[390, 53, 59, 52, 2, 14, 304, 2, 729, 5, 490, 31, 5, 8, 135, 2591, 65, 17]"
26,Not tip over,0.0013557347701862454,"[545, 248, 36, 2, 135, 176, 5611, 15]"
27,Not tip over,0.18915168941020966,"[243, 67, 33, 41, 15, 9, 38, 26, 117, 166, 64, 137, 4, 323, 268, 5, 4, 135]"
28,Not tip over,0.0036670102272182703,"[1688, 257, 200, 36, 2381, 135, 793, 10, 16, 274, 0, 195]"
29,Not tip over,0.0013019014149904251,"[610, 129, 42, 9, 14, 5, 3, 101, 6, 2, 135, 2562, 0, 0, 47, 2074]"
30,Not tip over,0.003998338710516691,"[444, 129, 0, 78, 0, 38, 521, 39, 135, 49, 75, 33, 17, 0, 0, 7, 0, 78, 0, 38, 15]"
31,Not tip over,0.0019525830866768956,"[390, 20, 129, 2085, 5, 8, 6, 2, 16, 135, 0, 7, 48, 18]"
32,Not tip over,0.0024803457781672478,"[342, 67, 33, 45, 190, 28, 26, 123, 43, 4, 135, 50, 658, 184]"
33,Not tip over,0.05333126708865166,"[4551, 259, 154, 41, 602, 50, 184, 101, 1284, 1706, 135, 0, 97, 47]"
34,Tip over,0.9041498303413391,"[350, 23, 44, 17, 10, 78, 202, 36, 51, 846, 36, 2, 135, 212, 354, 7, 36, 47, 0]"
35,Tip over,0.8486809134483337,"[133, 25, 57, 493, 44, 794, 5, 8, 6, 2, 135, 0, 0, 7, 28, 19]"
36,Not tip over,0.003112094011157751,"[71, 53, 59, 52, 8, 48, 2, 135, 18, 64, 44, 94, 6, 121]"
37,Not tip over,0.0017321322811767459,"[725, 0, 671, 23, 0, 385, 74, 0, 0, 8, 6, 0, 48, 2, 1338]"
38,Not tip over,0.0018523355247452855,"[1751, 955, 74, 0, 0, 616, 0, 330, 2, 89, 86, 2315, 9, 135, 2, 1206, 24, 0, 0, 7, 0, 90, 138, 47]"
39,Not tip over,0.001119192223995924,"[1707, 156, 17, 299, 113, 54, 307, 14, 22, 119, 9, 6, 2, 135, 0, 4675]"
40,Not tip over,0.0011811424046754837,"[1198, 82, 3476, 4656, 3, 227, 259, 58, 1338, 75, 2980, 30, 17, 0, 195]"
41,Not tip over,0.0014554287772625685,"[1633, 858, 4, 388, 3, 101, 6, 46, 4, 135, 0, 62, 195, 38, 18]"
42,Tip over,0.9442636370658875,"[393, 759, 21, 642, 35, 300, 5, 3, 10, 35, 119, 22, 35, 6, 2, 5324, 0, 7, 6, 32]"
43,Not tip over,0.0028827404603362083,"[349, 53, 59, 57, 1363, 5, 3, 5, 8, 48, 2, 135, 18, 2220, 6, 228]"
44,Not tip over,0.0035106472205370665,"[58, 25, 57, 521, 77, 39, 4, 135, 0, 0, 7, 77, 19]"
45,Not tip over,0.0015314607881009579,"[468, 23, 264, 2, 151, 9, 14, 3, 170, 22, 6, 2, 135]"
46,Not tip over,0.2210777848958969,"[71, 25, 57, 3656, 2, 135, 5, 3, 10, 16, 89, 0, 0, 7, 6, 32]"
47,Not tip over,0.0018833759240806103,"[235, 53, 59, 57, 282, 43, 38, 2, 135, 474, 103]"
48,Not tip over,0.0447598397731781,"[2559, 73, 154, 41, 101, 128, 2, 4, 135]"
49,Not tip over,0.0016267170431092381,"[562, 453, 163, 5247, 1231, 39, 83, 114, 10, 161, 644, 50, 2054, 4, 135, 114, 216, 0, 0, 7, 0, 27, 17]"
50,Not tip over,0.001551557332277298,"[577, 53, 59, 57, 166, 80, 249, 135, 50, 113, 1756, 9, 80, 1032]"
